"id_transacao","compl_transacao","tipo_registro","data_geracao_arquivo","grupo_indicador","cod_indicador","valor_indicador","num_casas_decimais","reserva"
196,1,1,2014-12-11,"indicadores-gerais","GBP-PF",1.5706,4,""
197,1,1,2014-12-12,"indicadores-gerais","GBP-PF",1.5714,4,""
198,1,1,2014-12-11,"indicadores-gerais","GBP-T1",4.1203,7,""
199,1,1,2014-12-12,"indicadores-gerais","GBP-T1",4.176,7,""
200,1,1,2014-12-11,"indicadores-gerais","GBP-T2",4.1189,7,""
201,1,1,2014-12-12,"indicadores-gerais","GBP-T2",4.1737,7,""
202,1,1,2014-12-11,"indicadores-gerais","GOV-MN",20.88,2,""
203,1,1,2014-12-12,"indicadores-gerais","GOV-MN",20.44,2,""
204,1,1,2014-12-11,"indicadores-gerais","GOV-MX",21.15,2,""
205,1,1,2014-12-12,"indicadores-gerais","GOV-MX",20.92,2,""
206,1,1,2014-12-11,"indicadores-gerais","GOV-PA",20.89,2,""
207,1,1,2014-12-12,"indicadores-gerais","GOV-PA",20.92,2,""
208,1,1,2014-12-11,"indicadores-gerais","GOV-PF",21.15,2,""
209,1,1,2014-12-12,"indicadores-gerais","GOV-PF",20.44,2,""
210,1,1,2014-12-11,"indicadores-gerais","GOV-PM",21,2,""
211,1,1,2014-12-12,"indicadores-gerais","GOV-PM",20.51,2,""
212,1,1,2014-12-11,"indicadores-gerais","HAN-BR",23313,0,""
213,1,1,2014-12-12,"indicadores-gerais","HAN-BR",23249,0,""
214,1,1,2014-12-11,"indicadores-gerais","IBR-PA",8390.26,2,""
215,1,1,2014-12-12,"indicadores-gerais","IBR-PA",8442.47,2,""
216,1,1,2014-12-11,"indicadores-gerais","IBR-PF",8444,2,""
217,1,1,2014-12-12,"indicadores-gerais","IBR-PF",8121,2,""
218,1,1,2014-12-11,"indicadores-gerais","IBR-PL",8367,2,""
219,1,1,2014-12-12,"indicadores-gerais","IBR-PL",8181,2,""
220,1,1,2014-12-11,"indicadores-gerais","IBR-PM",8363,2,""
221,1,1,2014-12-12,"indicadores-gerais","IBR-PM",8254,2,""
222,1,1,2014-12-11,"indicadores-gerais","IBV-MN",48808,0,""
223,1,1,2014-12-12,"indicadores-gerais","IBV-MN",47973,0,""
224,1,1,2014-12-11,"indicadores-gerais","IBV-MX",49946,0,""
225,1,1,2014-12-12,"indicadores-gerais","IBV-MX",49861,0,""
226,1,1,2014-12-11,"indicadores-gerais","IBV-PA",49548,0,""
227,1,1,2014-12-12,"indicadores-gerais","IBV-PA",49861,0,""
228,1,1,2014-12-11,"indicadores-gerais","IBV-PF",49861,0,""
229,1,1,2014-12-12,"indicadores-gerais","IBV-PF",48001,0,""
230,1,1,2014-12-11,"indicadores-gerais","IBV-PL",49417,0,""
231,1,1,2014-12-12,"indicadores-gerais","IBV-PL",48357,0,""
232,1,1,2014-12-11,"indicadores-gerais","IBV-PM",49389,0,""
233,1,1,2014-12-12,"indicadores-gerais","IBV-PM",48781,0,""
234,1,1,2014-12-11,"indicadores-gerais","IBX-MN",8264,2,""
235,1,1,2014-12-12,"indicadores-gerais","IBX-MN",8116,2,""
236,1,1,2014-12-11,"indicadores-gerais","IBX-MX",8459,2,""
237,1,1,2014-12-12,"indicadores-gerais","IBX-MX",8442,2,""
238,1,1,2014-12-11,"indicadores-gerais","IBX-PA",8390.26,2,""
239,1,1,2014-12-12,"indicadores-gerais","IBX-PA",8442.47,2,""
240,1,1,2014-12-11,"indicadores-gerais","IBX-PF",8444,2,""
241,1,1,2014-12-12,"indicadores-gerais","IBX-PF",8121,2,""
242,1,1,2014-12-11,"indicadores-gerais","IBX-PL",8367,2,""
243,1,1,2014-12-12,"indicadores-gerais","IBX-PL",8181,2,""
244,1,1,2014-12-11,"indicadores-gerais","IBX-PM",8363,2,""
